id,score_phrase,title,platform,score,
13856,Mediocre,Tony Hawk: Ride,Xbox 360,5,
13857,Amazing,Jet Car Stunts,iPhone,9,
13858,Mediocre,WorldShift,PC,5,
13859,Good,Harvest Moon: Animal Parade,Wii,7.5,
13860,Mediocre,LEGO Indiana Jones 2: The Adventure Continues,Nintendo DS,5.2,
13861,Awful,Squeeballs Party,Nintendo DS,3.1,
13862,Mediocre,StateShift,PlayStation Portable,5.5,
13863,Okay,Jurassic: The Hunted,PlayStation 3,6.5,
13864,Great,Resident Evil: The Darkside Chronicles,Wii,8.1,
13865,Okay,Jurassic: The Hunted,Xbox 360,6.5,
13866,Okay,Jurassic: The Hunted,Wii,6,
13867,Good,Star Trek: D-A-C,PC,7,
13868,Bad,Are You Smarter Than A 5th Grader? Game Time,Wii,4,
13869,Bad,Cabela's Big Game Hunter 2010,PlayStation 3,4.5,
13870,Bad,Hot Wheels: Battle Force 5,Nintendo DS,4.5,
13871,Okay,Star Wars: Trench Run,iPhone,6.7,
13872,Good,Foto Face: The Face Stealer Strikes,Nintendo DSi,7,
13873,Okay,Avatar: The Game,PC,6.8,
13874,Good,Dragon Ball Z: Attack of the Saiyans,Nintendo DS,7.1,
13875,Okay,Madden NFL Arcade,PlayStation 3,6.5,
13876,Good,Kahoots,PlayStation Portable,7.9,
13877,Great,Touch Pets: Dogs,iPhone,8.5,
13878,Bad,Frogger Returns,Wii,4.6,
13879,Good,Academy of Champions Soccer,Wii,7,
13880,Okay,Disney Fairies: Tinker Bell and the Lost Treasure,Nintendo DS,6.8,
13881,Painful,Dragon Master: Spell Caster,Wii,2.5,
13882,Good,Battle of Giants: Dragons (Bronze Edition),Nintendo DSi,7,
13883,Great,Naruto Shippuden: Clash of Ninja Revolution 3,Wii,8,
13884,Bad,Are You Smarter Than A 5th Grader? Game Time,Nintendo DS,4,
13885,Good,Hills and Rivers Remain,iPhone,7.5,
13886,Great,Blast Off,PlayStation Portable,8.5,
13887,Bad,The Combatribes,Wii,4,
13888,Okay,Madden NFL Arcade,Xbox 360,6.5,
13889,Amazing,iBlast Moki,iPhone,9,
13890,Great,Tekken 6,PlayStation Portable,8.5,
13891,Good,Castle of Magic,Nintendo DSi,7.5,
13892,Good,Digger HD,PlayStation 3,7.9,
13893,Bad,A Boy and His Blob: Trouble on Blobolonia,Wii,4.5,
13894,Good,Star Trek: D-A-C,PlayStation 3,7,
13895,Mediocre,Dance Dance Revolution: Disney Grooves (Game Only Edition),Wii,5.9,
13896,Mediocre,ColorZ,Wii,5.5,
13897,Good,Call of Duty: Modern Warfare -- Reflex Edition,Wii,7,
13898,Good,Catan,iPhone,7.5,
13899,Good,Viking Invasion,Nintendo DSi,7.4,
13900,Okay,Cybernoid: The Fighting Machine,Wii,6,
13901,Great,Call of Duty: Modern Warfare: Mobilized,Nintendo DS,8,
13902,Good,Stoked (Big Air Edition),Xbox 360,7.8,
13903,Great,Rogue Planet,iPhone,8,
13904,Good,A.D.D.,iPhone,7.5,
13905,Okay,NBA 2K10,Wii,6.5,
13906,Good,Ravensword: The Fallen King,iPhone,7,
13907,Good,All Star Cheer Squad 2,Wii,7,
13908,Bad,Scene It? Bright Lights! Big Screen!,Wii,4.9,
13909,Great,Indiana Jones' Greatest Adventure,Wii,8,
13910,Amazing,Call of Duty: Modern Warfare 2,PlayStation 3,9.5,
13911,Good,Pro Evolution Soccer 2010,Xbox 360,7.7,
13912,Bad,Are You Smarter Than A 5th Grader? Game Time,Xbox 360,4,
13913,Amazing,Call of Duty: Modern Warfare 2,Xbox 360,9.5,
13914,Amazing,Call of Duty: Modern Warfare 2 (Prestige Edition),Xbox 360,9.5,
13915,Great,0-D Beat Drop,Xbox 360,8.5,
13916,Okay,Dragon Ball: Raging Blast,PlayStation 3,6.2,
13917,Good,Pro Evolution Soccer 2010,PlayStation 3,7.7,
13918,Okay,Encleverment Experiment,Xbox 360,6,
13919,Mediocre,Arcade Bowling,Nintendo DSi,5.5,
13920,Okay,Dragon Ball: Raging Blast,Xbox 360,6.2,
13921,Good,Wonder Boy III: The Dragon's Trap [1989],Wii,7.5,
13922,Amazing,Call of Duty: Modern Warfare 2 (Prestige Edition),PlayStation 3,9.5,
13923,Good,Ghosts 'N Goblins: Gold Knights,iPhone,7.7,
13924,Amazing,Call of Duty: Modern Warfare 2 (Hardened Edition),PlayStation 3,9.5,
13925,Mediocre,Chaotic: Shadow Warriors,Xbox 360,5.5,
13926,Good,Super Monkey Ball 2,iPhone,7.2,
13927,Good,Cobra Command,iPhone,7.7,
13928,Good,Call of Duty Classic,Xbox 360,7.5,
13929,Mediocre,Chaotic: Shadow Warriors,PlayStation 3,5.5,
13930,Mediocre,Planet 51,Xbox 360,5,
13931,Mediocre,Planet 51,Wii,5,
13932,Good,Call of Duty Classic,PlayStation 3,7.5,
13933,Okay,Karaoke Revolution,Wii,6.8,
13934,Good,MX vs. ATV Reflex,PlayStation 3,7.8,
13935,Good,MX vs. ATV Reflex,Xbox 360,7.8,
13936,Bad,My Zoo,Wii,4,
13937,Okay,WireWay,Nintendo DS,6,
13938,Good,Karaoke Revolution,Xbox 360,7.2,
13939,Good,Karaoke Revolution,PlayStation 3,7.2,
13940,Good,Serious Sam HD,PC,7.5,
13941,Okay,Military Madness,PlayStation 3,6.9,
13942,Mediocre,Planet 51,PlayStation 3,5,
13943,Mediocre,C.O.P.: The Recruit,Nintendo DS,5,
13944,Mediocre,Avatar: The Game,Wii,5.9,
13945,Okay,Avatar: The Game,Xbox 360,6.8,
13946,Great,Might and Magic: Clash of Heroes,Nintendo DS,8.9,
13947,Okay,Avatar: The Game,PlayStation 3,6.8,
13948,Great,Bookworm,Nintendo DSi,8,
13949,Great,Borderlands: The Zombie Island of Dr. Ned,Xbox 360,8,
13950,Good,Puzzlegeddon,Xbox 360,7.9,
13951,Amazing,N.O.V.A.: Near Orbit Vanguard Alliance,iPhone,9,
13952,Okay,The Princess and the Frog,Wii,6.9,
13953,Okay,Diner Dash,PlayStation 3,6.4,
13954,Mediocre,The Princess and the Frog (Taste of New Orleans Edition),Nintendo DS,5.5,
13955,Mediocre,Ridge Racer Accelerated,iPhone,5,
13956,Awful,Fighting Street,Wii,3,
13957,Great,Rubik's Puzzle Galaxy: Rush,Wii,8,
13958,Good,Avatar: The Game,iPhone,7.8,
13959,Okay,NHL 2K10,PlayStation 2,6,
13960,Good,Bejeweled Twist,Nintendo DSi,7.4,
13961,Good,Earthworm Jim 2,Wii,7,
13962,Good,Alien Breed Evolution,Xbox 360,7.9,
13963,Good,Pop Island,Nintendo DSi,7.5,
13964,Mediocre,MX vs. ATV Reflex,Nintendo DS,5.7,
13965,Good,Street Fighter Alpha 2,Wii,7,
13966,Good,Tom Clancy's HAWX,iPhone,7.9,
13967,Bad,Resident Evil Archives: Resident Evil Zero,Wii,4.5,
13968,Good,Pro Evolution Soccer 2010,PlayStation 2,7.2,
13969,Great,Shinobi [1987],Wii,8,
13970,Good,Skater Nation,iPhone,7.5,
13971,Good,Magnetis,Wii,7.5,
13972,Great,Borderlands: The Zombie Island of Dr. Ned,PC,8,
13973,Painful,Copter Crisis,Wii,2,
13974,Bad,Jonas,Nintendo DS,4,
13975,Good,Solomon's Key (Arcade),Wii,7,
13976,Bad,Qix++,Xbox 360,4.6,
13977,Bad,MX vs. ATV Reflex,PlayStation Portable,4,
13978,Good,Christmas Clix,Wii,7,
13979,Amazing,PixelJunk Shooter,PlayStation 3,9.1,
13980,Great,Tales of Monkey Island -- Chapter 5: Rise of the Pirate God,PC,8.3,
13981,Great,Rayman,Nintendo DSi,8,
13982,Good,The Saboteur,PlayStation 3,7.5,
13983,Good,Gravity Crash,PlayStation 3,7,
13984,Mediocre,Pac-Man: Championship Edition,iPhone,5,
13985,Great,Pro Evolution Soccer 2010,Wii,8.1,
13986,Amazing,Dragon's Lair,iPhone,9,
13987,Okay,Chaotic: Shadow Warriors,Nintendo DS,6.5,
13988,Amazing,The Legend of Zelda: Spirit Tracks,Nintendo DS,9.3,
13989,Good,Beaterator,iPhone,7,
13990,Okay,Eat! Fat! Fight!,Wii,6,
13991,Good,Serious Sam HD: The First Encounter,Xbox 360,7,
13992,Good,Magnetis,PC,7.5,
13993,Great,Fable II (Platinum Hits),Xbox 360,8.8,
13994,Okay,Ace Combat Xi,iPhone,6.8,
13995,Unbearable,Rogue Warrior,PC,1.5,
13996,Unbearable,Rogue Warrior,Xbox 360,1.5,
13997,Great,Silent Hill: Shattered Memories,Wii,8.6,
13998,Unbearable,Rogue Warrior,PlayStation 3,1.5,
13999,Great,Bookworm,Nintendo DS,8.4,
14000,Great,Labyrinth 2,iPhone,8.5,
14001,Amazing,Beat It!,iPhone,9,
14002,Mediocre,Army of Two: The 40th Day,PlayStation Portable,5,
14003,Bad,Twin Sector,PC,4.3,
14004,Awful,Pub Darts,Wii,3.5,
14005,Great,The Magic Obelisk,Wii,8,
14006,Good,Parcel Panic: Post Car Racer 3D,iPhone,7.5,
14007,Great,Chronos Twins DX,Wii,8,
14008,Okay,Heron: Steam Machine,Wii,6,
14009,Okay,Phoenix Wright: Ace Attorney,Wii,6,
14010,Painful,Just Dance,Wii,2,
14011,Great,Borderlands: The Zombie Island of Dr. Ned,PlayStation 3,8,
14012,Good,The Saboteur,Xbox 360,7.5,
14013,Good,Matt Hazard: Blood Bath and Beyond,Xbox 360,7.9,
14014,Good,Dragonology,Nintendo DS,7,
14015,Good,Polar Panic,Xbox 360,7.5,
14016,Mediocre,Fighting Fantasy: The Warlock of Firetop Mountain,Nintendo DS,5.5,
14017,Good,Matt Hazard: Blood Bath and Beyond,PlayStation 3,7.9,
14018,Okay,Borderlands: Mad Moxxi's Underdome Riot,PC,6,
14019,Okay,Borderlands: Mad Moxxi's Underdome Riot,Xbox 360,6,
14020,Great,Army of Two: The 40th Day,Xbox 360,8.5,
14021,Good,Pinball Hall of Fame: The Gottlieb Collection,Wii,7,
14022,Okay,Borderlands: Mad Moxxi's Underdome Riot,PlayStation 3,6,
14023,Great,The Sky Crawlers: Innocent Aces,Wii,8,
14024,Bad,Guitar Hero: Van Halen,Wii,4.9,
14025,Good,CSI: Crime Scene Investigation: Deadly Intent -- Hidden Cases,Nintendo DS,7.5,
14026,Bad,0 Day: Attack on Earth,Xbox 360,4,
14027,Good,Darksiders,Xbox 360,7.8,
14028,Okay,Fast Draw Showdown,Wii,6.5,
14029,Good,Yu-Gi-Oh!  5D's Tag Force 4,PlayStation Portable,7,
14030,Good,Darksiders,PlayStation 3,7.8,
14031,Amazing,The Lord of the Rings Online: Siege of Mirkwood,PC,9,
14032,Great,Hook Champ,iPhone,8.5,
14033,Bad,Guitar Hero: Van Halen,PlayStation 3,4.9,
14034,Mediocre,Mytran Wars,PlayStation Portable,5.8,
14035,Great,Castlevania: The Adventure ReBirth,Wii,8,
14036,Great,Wings of Prey,PC,8.3,
14037,Bad,Frogger Returns,PlayStation 3,4.6,
14038,Good,Dante's Inferno (Divine Edition),PlayStation 3,7.5,
14039,Mediocre,White Knight Chronicles (International Edition),PlayStation 3,5.1,
14040,Good,Dante's Inferno,Xbox 360,7.5,
14041,Okay,Tumble Bugs 2,Wii,6,
14042,Great,Legends of Exidia,Nintendo DSi,8,
14043,Great,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PlayStation Portable,8.4,
14044,Awful,Diatomic,Wii,3.5,
14045,Amazing,Tatsunoko vs. Capcom: Ultimate All Stars,Wii,9,
14046,Bad,Dawn of the Dead,iPhone,4,
14047,Amazing,Mass Effect 2,PC,9.6,
14048,Amazing,Mass Effect 2,Xbox 360,9.6,
14049,Great,No More Heroes 2: Desperate Struggle,Wii,8.8,
14050,Great,Aztec Quest,iPhone,8,
14051,Good,Battleship (2009),iPhone,7.9,
14052,Okay,Seed,iPhone,6.5,
14053,Good,The Simpsons Arcade,iPhone,7,
14054,Great,Bayonetta,PlayStation 3,8.2,
14055,Mediocre,Buzz! Quiz World,PlayStation Portable,5.9,
14056,Amazing,Bayonetta,Xbox 360,9.5,
14057,Good,Dragon's Lair,Nintendo DSi,7,
14058,Okay,Muscle March,Wii,6.1,
14059,Good,MAG,PlayStation 3,7,
14060,Great,Cogs,iPhone,8,
14061,Good,Assassin's Creed II: Discovery,iPhone,7,
14062,Great,Silent Hill: Shattered Memories,PlayStation 2,8,
14063,Great,Chime,Xbox 360,8,
14064,Okay,Blood Bowl,Xbox 360,6.4,
14065,Okay,Blood Bowl,PC,6.4,
14066,Good,Vandal Hearts: Flames of Judgment,PlayStation 3,7.3,
14067,Bad,Death By Cube,Xbox 360,4.9,
14068,Okay,Pallurikio,Wii,6,
14069,Good,Vandal Hearts: Flames of Judgment,Xbox 360,7.3,
14070,Good,ShadowPlay,Wii,7.5,
14071,Mediocre,Dark Void,PC,5,
14072,Good,Sands of Destruction,Nintendo DS,7.4,
14073,Good,TV Show King 2,Wii,7.8,
14074,Mediocre,Dark Void,PlayStation 3,5,
14075,Mediocre,Dark Void,Xbox 360,5,
14076,Amazing,Grand Theft Auto: Chinatown Wars,iPhone,9,
14077,Great,Need for Speed Shift,iPhone,8.9,
14078,Mediocre,Scene It? Twilight,Wii,5.5,
14079,Okay,Final Fantasy Crystal Chronicles: Crystal Bearers,Wii,6.2,
14080,Mediocre,The Princess and the Frog,Nintendo DS,5.5,
14081,Mediocre,Ninja Gaiden (Arcade),Wii,5,
14082,Good,Assassin's Creed II: Battle of Forli,Xbox 360,7.4,
14083,Good,Assassin's Creed II: Battle of Forli,PlayStation 3,7.4,
14084,Mediocre,Moki Moki,Wii,5,
14085,Awful,Aha! I Found it! Hidden Object Game,Wii,3,
14086,Good,Bittos,Wii,7.5,
14087,Great,Uno [2010],Wii,8,
14088,Good,Silent Hill: Shattered Memories,PlayStation Portable,7,
14089,Good,Eco Shooter: Plant 530,Wii,7,
14090,Awful,Rabbids Lab,Wii,3,
14091,Good,Vancouver 2010: The Official Videogame of the Winter Olympic Games,PlayStation 3,7.3,
14092,Good,Vancouver 2010: The Official Videogame of the Winter Olympic Games,Xbox 360,7.3,
14093,Bad,Divinity II: Ego Draconis,Xbox 360,4.8,
14094,Bad,Guitar Hero: Van Halen,PlayStation 2,4.9,
14095,Good,Divinity II: Ego Draconis,PC,7,
14096,Painful,WWE SmackDown vs. Raw 2010,iPhone,2.5,
14097,Bad,007: Top Agent,iPhone,4,
14098,Good,Street Fighter II: Champion Edition,Wii,7,
14099,Great,The Horrible Vikings,iPhone,8,
14100,Good,Bejeweled Twist,Nintendo DS,7,
14101,Painful,Bloons,Wii,2,
14102,Great,GT Racing: Motor Academy,iPhone,8.5,
14103,Bad,Oscar in Movieland,Nintendo DSi,4,
14104,Good,Fieldrunners,Nintendo DSi,7.5,
14105,Good,Shadow of Destiny,PlayStation Portable,7.1,
14106,Amazing,Mass Effect 2 (Collector's Edition),PC,9.6,
14107,Amazing,Link 'n' Launch,Nintendo DSi,9,
14108,Amazing,Mass Effect 2 (Collector's Edition),Xbox 360,9.6,
14109,Good,Military Madness: Neo Nectaris,iPhone,7,
14110,Amazing,BioShock 2,Xbox 360,9.1,
14111,Amazing,BioShock 2 (Special Edition),Xbox 360,9.1,
14112,Okay,Glory of Heracles,Nintendo DS,6,
14113,Amazing,BioShock 2,PlayStation 3,9.1,
14114,Good,Crush the Castle,iPhone,7.9,
14115,Okay,KrissX,Xbox 360,6.5,
14116,Amazing,BioShock 2 (Special Edition),PlayStation 3,9.1,
14117,Good,Vanquish: The Oath of Brothers,iPhone,7.6,
14118,Great,S.T.A.L.K.E.R. Call of Pripyat,PC,8.2,
14119,Good,Pocket Chef,iPhone,7.5,
14120,Great,Super Smash Bros.,Wii,8,
14121,Okay,Fret Nice,PlayStation 3,6.5,
14122,Mediocre,Sonic at the Olympic Winter Games,iPhone,5,
14123,Great,Dark Void Zero,Nintendo DSi,8.5,
14124,Good,Pilotwings,Wii,7.5,
14125,Great,The Misadventures of Mr. P.B. Winterbottom,Xbox 360,8.3,
14126,Good,New York 3D Rollercoaster Rush,iPhone,7.5,
14127,Mediocre,WireWay,iPhone,5.7,
14128,Bad,World of Outlaws: Sprint Cars,Xbox 360,4.5,
14129,Great,X2 Snowboarding,iPhone,8,
14130,Good,Aliens vs. Predator,Xbox 360,7,
14131,Good,Ace Attorney Investigations: Miles Edgeworth,Nintendo DS,7.6,
14132,Mediocre,Data East Arcade Classics,Wii,5,
14133,Okay,Blaster Master Overdrive,Wii,6.5,
14134,Good,Aliens vs. Predator,PlayStation 3,7,
14135,Good,1000: Find 'Em All,iPhone,7,
14136,Great,Sonic & SEGA All-Stars Racing,Nintendo DS,8,
14137,Good,GhostSlayer,Wii,7,
14138,Good,Risen,Xbox 360,7.6,
14139,Awful,Family Go-Kart Racing,Wii,3,
14140,Great,Flight Control,Nintendo DSi,8,
14141,Great,Sonic & SEGA All-Stars Racing,PlayStation 3,8,
14142,Good,Flipper,Nintendo DSi,7.5,
14143,Good,Major League Baseball 2K10,PlayStation 3,7,
14144,Great,Toy Soldiers,Xbox 360,8,
14145,Mediocre,Rayman 2: The Great Escape,iPhone,5.5,
14146,Good,Major League Baseball 2K10,Xbox 360,7,
14147,Okay,Dante's Inferno: Dark Forest,PlayStation 3,6,
14148,Great,Vector Tanks Extreme,iPhone,8,
14149,Okay,Dante's Inferno: Dark Forest,Xbox 360,6,
14150,Painful,Major League Baseball 2K10,Nintendo DS,2.8,
14151,Great,Tropico 3,Xbox 360,8.2,
14152,Good,Max & the Magic Marker,PC,7,
14153,Amazing,Plants vs. Zombies,iPhone,9,
14154,Good,Riddim Ribbon feat. Black Eyed Peas,iPhone,7.5,
14155,Good,Super Monkey Ball: Step & Roll,Wii,7.8,
14156,Good,VVVVVV,PC,7.5,
14157,Great,Sins of a Solar Empire: Diplomacy,PC,8,
14158,Great,Doom II RPG,iPhone,8,
14159,Amazing,Heavy Rain,PlayStation 3,9,
14160,Great,Dragon Age: Origins -- Awakening,PC,8.5,
14161,Great,Dragon Age: Origins -- Awakening,Xbox 360,8.5,
14162,Amazing,Perfect Dark,Xbox 360,9,
14163,Great,Rage of the Gladiator,Wii,8.5,
14164,Great,Pokemon SoulSilver Version,Nintendo DS,8.5,
14165,Great,Global Agenda,PC,8.4,
14166,Great,Aura-Aura Climber,Nintendo DSi,8,
14167,Painful,Deadly Premonition,Xbox 360,2,
14168,Great,Lazy Raiders,Xbox 360,8,
14169,Good,Brothers in Arms: Global Front,iPhone,7.7,
14170,Good,Endless Ocean: Blue World,Wii,7,
14171,Amazing,Sonic & Knuckles,Wii,9,
14172,Okay,Alice in Wonderland: The Movie,iPhone,6.5,
14173,Great,Mega Man 10,Wii,8.5,
14174,Great,Battlefield: Bad Company 2 (Limited Edition),Xbox 360,8.9,
14175,Great,Borderlands,PC,8.8,
14176,Awful,Last Rebellion,PlayStation 3,3,
14177,Great,Battlefield: Bad Company 2,Xbox 360,8.9,
14178,Great,Battlefield: Bad Company 2,PlayStation 3,8.9,
14179,Great,Battlefield: Bad Company 2 (Limited Edition),PlayStation 3,8.9,
14180,Great,Borderlands: The Secret Armory of General Knoxx,PlayStation 3,8.8,
14181,Good,Final Fantasy I,iPhone,7,
14182,Good,Resident Evil 5: Desperate Escape,Xbox 360,7,
14183,Good,Drift Sumi-e,iPhone,7,
14184,Okay,Diner Dash 5: Boom,PC,6.5,
14185,Good,Major League Baseball 2K10,PC,7.3,
14186,Great,MLB 10: The Show,PlayStation 3,8.9,
14187,Good,Tumbledrop,iPhone,7.9,
14188,Great,Supreme Commander 2,PC,8.4,
14189,Bad,VT Tennis,Nintendo DSi,4,
14190,Mediocre,Major League Baseball 2K10,Wii,5,
14191,Great,Tales of Monkey Island -- Chapter 5: Rise of the Pirate God,Wii,8.1,
14192,Amazing,BioShock 2,PC,9.1,
14193,Great,Darwinia+,Xbox 360,8.9,
14194,Mediocre,Hubert the Teddy Bear: Winter Games,Wii,5,
14195,Good,Shiren the Wanderer,Wii,7,
14196,Great,Pokemon HeartGold Version,Nintendo DS,8.5,
14197,Great,Street Fighter IV,iPhone,8,
14198,Great,Assassin's Creed II,PC,8.9,
14199,Good,Lips: Party Classics,Xbox 360,7.3,
14200,Great,Mega Man 10,PlayStation 3,8.5,
14201,Good,Dracula: Undead Awakening,Nintendo DSi,7,
14202,Good,Resident Evil 5: Desperate Escape,PlayStation 3,7,
14203,Great,Elemental Masters,Nintendo DSi,8,
14204,Good,Scrap Metal,Xbox 360,7.5,
14205,Great,Angry Birds,iPhone,8,
14206,Good,Assassin's Creed II: Bonfire of the Vanities,PlayStation 3,7.4,
14207,Good,Assassin's Creed II: Bonfire of the Vanities,Xbox 360,7.4,
14208,Good,Aliens vs. Predator,PC,7.3,
14209,Good,Resident Evil 5: Lost in Nightmares,PlayStation 3,7.5,
14210,Great,Napoleon: Total War,PC,8.9,
14211,Good,Resident Evil 5: Lost in Nightmares,Xbox 360,7.5,
14212,Great,Transformers G1: Awakening,iPhone,8.5,
14213,Great,Star Ocean: The Last Hope International,PlayStation 3,8.5,
14214,Okay,Hyperballoid HD,PlayStation 3,6.8,
14215,Great,Borderlands: The Secret Armory of General Knoxx,Xbox 360,8.8,
14216,Okay,Final Fantasy II,iPhone,6.8,
14217,Great,Starship Defense,Nintendo DSi,8.5,
14218,Great,Escapee GO!,Nintendo DSi,8.5,
14219,Okay,Fret Nice,Xbox 360,6.5,
14220,Great,Greed Corp,Xbox 360,8.8,
14221,Mediocre,Flips: Terror in Cubicle Four,Nintendo DSi,5,
14222,Okay,Globulos Party,Nintendo DSi,6,
14223,Great,Dragon Age: Origins -- Return to Ostagar,PC,8.5,
14224,Mediocre,Let's Golf,Nintendo DSi,5,
14225,Great,Space Miner: Space Ore Bust,iPhone,8,
14226,Amazing,Sword & Poker,iPhone,9,
14227,Good,Dungeon Solitaire,iPhone,7.5,
14228,Great,Dragon Age: Origins -- Return to Ostagar,Xbox 360,8.5,
14229,Great,Battlefield: Bad Company 2 (Limited Edition),PC,8.9,
14230,Mediocre,Flips: The Bubonic Builders,Nintendo DSi,5,
14231,Good,Dracula: Undead Awakening,Wii,7,
14232,Great,Yakuza 3,PlayStation 3,8.5,
14233,Okay,4 Travellers: Play Spanish,Nintendo DSi,6,
14234,Great,Fatal Fury Special,Wii,8,
14235,Amazing,God of War III,PlayStation 3,9.3,
14236,Bad,Major League Baseball 2K10,PlayStation Portable,4.5,
14237,Great,Final Fantasy XIII,Xbox 360,8.9,
14238,Great,Final Fantasy XIII,PlayStation 3,8.9,
14239,Okay,Star Trek Online,PC,6.8,
14240,Okay,Vancouver 2010: The Official Videogame of the Winter Olympic Games,iPhone,6,
14241,Good,California Gold Rush 2,iPhone,7.5,
14242,Great,Sonic & SEGA All-Stars Racing,Wii,8,
14243,Great,Sonic & SEGA All-Stars Racing with Banjo Kazooie,Xbox 360,8,
14244,Mediocre,Mouse House,Wii,5,
14245,Great,Sonic & SEGA All-Stars Racing,Nintendo DS,8,
14246,Good,Resonance of Fate,Xbox 360,7,
14247,Great,Just Cause 2,Xbox 360,8.8,
14248,Awful,Prison Break: The Conspiracy,Xbox 360,3.5,
14249,Great,Drift Street International,Nintendo DSi,8,
14250,Good,Resonance of Fate,PlayStation 3,7,
14251,Great,Battlefield: Bad Company 2,PC,8.9,
14252,Good,Dart Rage,Wii,7,
14253,Mediocre,Happy Hammerin',Wii,5,
14254,Good,Sonic Classic Collection,Nintendo DS,7,
14255,Good,Groovin' Blocks,PlayStation 3,7.5,
14256,Great,Heavy Rain Chronicles: Episode One -- The Taxidermist,PlayStation 3,8,
14257,Okay,Feeding Frenzy 2: Shipwreck Showdown,PlayStation 3,6,
14258,Okay,Metro 2033,Xbox 360,6.9,
14259,Great,The Hero,iPhone,8,
14260,Bad,Dante's Inferno,PlayStation Portable,4.5,
14261,Good,Patchwork Heroes,PlayStation Portable,7.5,
14262,Great,Red Steel 2,Wii,8.6,
14263,Great,Just Cause 2,PC,8.8,
14264,Great,Just Cause 2,PlayStation 3,8.8,
14265,Good,Libera Wing,Nintendo DSi,7,
14266,Mediocre,Rooms: The Main Building,Wii,5,
14267,Awful,Prison Break: The Conspiracy,PlayStation 3,3.5,
14268,Good,Simon the Sorcerer: Who'd Even Want Contact?!,PC,7.3,
14269,Okay,Alice in Wonderland: The Movie,Wii,6.5,
14270,Great,Lunar: Silver Star Harmony,PlayStation Portable,8.2,
14271,Good,Command & Conquer 4: Tiberian Twilight,PC,7.4,
14272,Great,"Warhammer 40,000: Dawn of War II -- Chaos Rising",PC,8.5,
14273,Okay,Fragile Dreams: Farewell Ruins of The Moon,Wii,6.7,
14274,Painful,Garfield Pooky Quest,iPhone,2,
14275,Amazing,Age of Zombies,PlayStation Portable,9,
14276,Good,All-In-1 Gamebox,iPhone,7,
14277,Great,Car Jack Streets,Nintendo DSi,8,
14278,Mediocre,Rooms: The Main Building,Nintendo DS,5,
14279,Great,Supreme Commander 2,Xbox 360,8.3,
14280,Okay,The Red Star,PlayStation Portable,6.5,
14281,Great,Echoshift,PlayStation Portable,8.5,
14282,Okay,Metro 2033,PC,6.9,
14283,Good,de Blob: Revolution,iPhone,7,
14284,Great,Cave Story,Wii,8.5,
14285,Good,Zoo Frenzy,Nintendo DSi,7,
14286,Good,101 Minigolf World,Nintendo DSi,7,
14287,Amazing,Resident Evil 5 (Gold Edition),PlayStation 3,9,
14288,Mediocre,Frogger Inferno,iPhone,5,
14289,Okay,Battle of Giants: Mutant Insects,Nintendo DS,6,
14290,Good,Battle of Giants: Dinosaurs -- Fight For Survival,Nintendo DSi,7,
14291,Amazing,Resident Evil 5 (Gold Edition),Xbox 360,9,
14292,Painful,Triple Shot Sports,Wii,2,
14293,Great,Dragon Age: Origins -- Awakening,PlayStation 3,8.5,
14294,Great,Dynasty Warriors: Strikeforce,Xbox 360,8,
14295,Great,Final Fantasy II,Wii,8,
14296,Great,Dynasty Warriors: Strikeforce,PlayStation 3,8,
14297,Mediocre,Major League Baseball 2K10,PlayStation 2,5.5,
14298,Mediocre,HamsterBall,PlayStation 3,5,
14299,Mediocre,Cho Aniki Zero,PlayStation Portable,5.9,
14300,Good,EverQuest II: Sentinel's Fate,PC,7.2,
14301,Great,A Kingdom for Keflings,PC,8.5,
14302,Okay,MotoGP 09/10,Xbox 360,6.7,
14303,Good,Infinite Space,Nintendo DS,7,
14304,Great,Save the Turtles,Nintendo DSi,8,
14305,Amazing,"Sakura Wars: So Long, My Love",PlayStation 2,9,
14306,Awful,Super Yum Yum Puzzle Adventures,Nintendo DSi,3,
14307,Okay,Diner Dash,Wii,6.4,
14308,Great,Zenonia 2: The Lost Memories,iPhone,8,
14309,Good,Anarchy: Rush Hour,PlayStation 3,7,
14310,Mediocre,Disney Fireworks,Nintendo DSi,5,
14311,Mediocre,Wakeboarding HD,PlayStation 3,5,
14312,Bad,Blue Toad Murder Files: The Mysteries of Little Riddle -- Episode 2,PlayStation 3,4.5,
14313,Mediocre,Silent Hunter V: Battle Of The Atlantic,PC,5.7,
14314,Bad,Blue Toad Murder Files: The Mysteries of Little Riddle -- Episode 1,PlayStation 3,4.5,
14315,Good,Ragnarok,Nintendo DS,7,
14316,Bad,Blue Toad Murder Files: The Mysteries of Little Riddle -- Episode 3,PlayStation 3,4.5,
14317,Great,America's Test Kitchen: Let's Get Cooking,Nintendo DS,8.5,
14318,Mediocre,Dead or Alive Paradise,PlayStation Portable,5,
14319,Good,Section 8,PlayStation 3,7.5,
14320,Great,ZombieSmash,iPhone,8,
14321,Amazing,Castlevania X: Rondo of Blood,Wii,9,
14322,Good,The Price is Right: 2010 Edition,iPhone,7.5,
14323,Okay,MotoGP 09/10,PlayStation 3,6.7,
14324,Amazing,Wario Ware D.I.Y.,Nintendo DS,9,
14325,Great,Tony Hawk's Pro Skater 2,iPhone,8.2,
